      2768 -0.000208  -7.7e-05   -0.8554    0.6412   74.0555
      5661 -0.000207  -7.8e-05   -0.8331    0.6286   74.0536
      5443 -0.000207  -7.5e-05   -0.8003    0.6442   74.0683
      5172 -0.000206  -8.5e-05   -0.8193    0.5894   73.9885
      3108 -0.000206  -8.4e-05   -0.8087    0.5859   73.9883
      5886 -0.000206  -8.3e-05   -0.8047    0.5903   73.9884
      5664 -0.000206  -8.2e-05   -0.8327    0.6313   74.0601
      5760 -0.000206  -8.2e-05    -0.826    0.6061   74.0324
      5662 -0.000206    -8e-05   -0.8306    0.6235   74.0553
      5779 -0.000206  -7.8e-05   -0.8131    0.6388   74.0606
      5768 -0.000206  -7.7e-05   -0.8161    0.6469   74.0747
      5782 -0.000206  -7.7e-05   -0.8146    0.6417   74.0727
      5891 -0.000206  -7.7e-05   -0.8141    0.6363   74.0723
      4230 -0.000206  -7.7e-05    -0.807    0.6352   74.0525
      5680 -0.000206  -7.7e-05   -0.8059    0.6401   74.0709
      5447 -0.000206  -7.7e-05   -0.7931    0.6454   74.0611
      6324 -0.000206  -7.6e-05   -0.8192    0.6363   74.0676
      5988 -0.000206  -7.6e-05   -0.8154    0.6341   74.0545
      3153 -0.000206  -7.6e-05   -0.8124    0.6451    74.069
      6281 -0.000206  -7.6e-05   -0.8064    0.6352   74.0554
      5887 -0.000206  -7.6e-05   -0.8019    0.6329   74.0661
      5888 -0.000206  -7.6e-05   -0.7975    0.6363   74.0712
      4966 -0.000206  -7.5e-05   -0.8215    0.6415   74.0666
      5749 -0.000206  -7.5e-05    -0.803    0.6416   74.0565
      4806 -0.000206  -7.4e-05   -0.8125     0.635   74.0618
      4258 -0.000206  -7.4e-05    -0.809    0.6375   74.0482
      5521 -0.000206  -7.4e-05   -0.8038    0.6363   74.0849
      3794 -0.000206  -7.4e-05   -0.8033    0.6356   74.0777
      6290 -0.000206  -7.4e-05   -0.8025    0.6463   74.0728
      5451 -0.000206  -7.4e-05   -0.8009    0.6363    74.063
      5784 -0.000206  -7.4e-05   -0.8003    0.6363   74.0639
      1076 -0.000206  -7.2e-05   -0.7971     0.634   74.0546
      5757 -0.000205  -8.5e-05   -0.8049    0.5956   74.0087
      3891 -0.000205  -8.5e-05   -0.8042    0.5946    73.983
      3935 -0.000205  -8.4e-05   -0.8117    0.5788   73.9707
      5731 -0.000205  -8.4e-05   -0.8063    0.5898   73.9799
      5881 -0.000205  -8.4e-05   -0.8049    0.5893   73.9933
      5610 -0.000205  -8.3e-05   -0.8071     0.595   73.9944
      5784 -0.000205  -8.1e-05   -0.8231     0.606   74.0134
      6289 -0.000205  -7.8e-05   -0.8183    0.6411   74.0672
      5789 -0.000205  -7.8e-05   -0.8144    0.6412   74.0651
      5912 -0.000205  -7.8e-05   -0.8132     0.642   74.0566
      5792 -0.000205  -7.8e-05   -0.8128    0.6382   74.0697
      5917 -0.000205  -7.8e-05   -0.8117    0.6373    74.052
      4843 -0.000205  -7.8e-05   -0.8076    0.6378   74.0669
      6124 -0.000205  -7.8e-05   -0.8007    0.6107   74.0192
      6061 -0.000205  -7.7e-05   -0.8227    0.6384   74.0693
      5604 -0.000205  -7.7e-05    -0.815    0.6465   74.0817
      5773 -0.000205  -7.7e-05   -0.8144     0.637   74.0613
      5925 -0.000205  -7.7e-05    -0.813    0.6453   74.0845
      5301 -0.000205  -7.7e-05   -0.8129    0.6386    74.068
      5786 -0.000205  -7.7e-05   -0.8128    0.6335   74.0496
      5764 -0.000205  -7.7e-05    -0.812    0.6392   74.0781
      3626 -0.000205  -7.7e-05    -0.812    0.6426   74.0605
      6336 -0.000205  -7.7e-05   -0.8102    0.6414   74.0606
      4480 -0.000205  -7.7e-05   -0.8048    0.6408   74.0623
      5947 -0.000205  -7.7e-05   -0.8026    0.6369   74.0456
      5847 -0.000205  -7.7e-05   -0.8018     0.636   74.0707
      5241 -0.000205  -7.7e-05   -0.8003     0.643   74.0716
      6341 -0.000205  -7.6e-05   -0.8217    0.6387   74.0549
      6560 -0.000205  -7.6e-05   -0.8186    0.6367   74.0725
      5965 -0.000205  -7.6e-05   -0.8165    0.6446   74.0825
      4140 -0.000205  -7.6e-05   -0.8162    0.6469   74.0733
      5954 -0.000205  -7.6e-05   -0.8158    0.6464   74.0714
      6011 -0.000205  -7.6e-05    -0.815    0.6381   74.0457
      2716 -0.000205  -7.6e-05   -0.8145    0.6428   74.0464
      4575 -0.000205  -7.6e-05   -0.8144    0.6411   74.0608
      6366 -0.000205  -7.6e-05   -0.8141    0.6379   74.0656
      5842 -0.000205  -7.6e-05   -0.8135     0.644   74.0734
      5726 -0.000205  -7.6e-05    -0.813    0.6375   74.0664
      6136 -0.000205  -7.6e-05   -0.8127     0.632   74.0465
      6300 -0.000205  -7.6e-05   -0.8121    0.6362   74.0661
      6167 -0.000205  -7.6e-05   -0.8121    0.6414   74.0901
      6172 -0.000205  -7.6e-05    -0.812     0.635   74.0618
      5856 -0.000205  -7.6e-05   -0.8117    0.6295   74.0677
      6027 -0.000205  -7.6e-05   -0.8102    0.6328   74.0569
      6066 -0.000205  -7.6e-05   -0.8093    0.6376   74.0782
      5991 -0.000205  -7.6e-05   -0.8085    0.6329    74.046
      6264 -0.000205  -7.6e-05   -0.8081    0.6329    74.061
      6021 -0.000205  -7.6e-05    -0.808    0.6333   74.0631
      1879 -0.000205  -7.6e-05    -0.804    0.6457   74.0765
      5664 -0.000205  -7.6e-05   -0.8012    0.6403     74.07
      6041 -0.000205  -7.6e-05    -0.801    0.6443   74.0712
      5828 -0.000205  -7.5e-05   -0.8144    0.6401   74.0779
      4945 -0.000205  -7.5e-05   -0.8144    0.6441   74.0586
      5979 -0.000205  -7.5e-05   -0.8134    0.6414     74.07
      3564 -0.000205  -7.5e-05   -0.8126    0.6384    74.082
      5676 -0.000205  -7.5e-05   -0.8125    0.6369   74.0763
      5954 -0.000205  -7.5e-05   -0.8122    0.6336   74.0724
      5815 -0.000205  -7.5e-05   -0.8081    0.6374    74.077
      5787 -0.000205  -7.5e-05   -0.8079    0.6473    74.064
      4531 -0.000205  -7.5e-05   -0.8063    0.6316   74.0632
      5487 -0.000205  -7.5e-05   -0.8062    0.6342   74.0551
      6097 -0.000205  -7.5e-05   -0.8045    0.6329   74.0404
      6109 -0.000205  -7.5e-05   -0.8035    0.6448    74.067
      5581 -0.000205  -7.5e-05   -0.8005      0.64   74.0579
      3362 -0.000205  -7.4e-05   -0.8194    0.6419   74.0661
      5898 -0.000205  -7.4e-05   -0.8122    0.6284   74.0543
      5582 -0.000205  -7.4e-05   -0.8109     0.635   74.0747
      6170 -0.000205  -7.4e-05   -0.8081    0.6315   74.0549
      6082 -0.000205  -7.4e-05   -0.8045     0.639   74.0749
      5196 -0.000205  -7.4e-05   -0.8019    0.6433    74.077
      5925 -0.000205  -7.4e-05   -0.7996    0.6413   74.0655
      5905 -0.000205  -7.3e-05   -0.8001    0.6389   74.0632
      5374 -0.000205  -7.3e-05   -0.7955    0.6384    74.053
      6085 -0.000205  -7.2e-05   -0.7964     0.641   74.0751
      4665 -0.000204  -8.6e-05   -0.8105    0.5895   73.9877
      5650 -0.000204  -8.5e-05   -0.8109    0.5899   74.0027
      5164 -0.000204  -8.5e-05   -0.8105    0.5896   73.9811
      5683 -0.000204  -8.5e-05   -0.8081    0.5927   73.9781
      5593 -0.000204  -8.4e-05   -0.8149    0.5972   73.9717
      5769 -0.000204  -8.4e-05   -0.8113     0.589   73.9954
      5854 -0.000204  -8.4e-05   -0.8107    0.5906    73.984
      5815 -0.000204  -8.4e-05   -0.8072    0.5889   73.9925
      5789 -0.000204  -8.4e-05   -0.8069    0.5895    73.992
      5746 -0.000204  -8.3e-05   -0.8117    0.5791    73.982
      5907 -0.000204  -8.3e-05   -0.8105    0.5866    73.986
      5810 -0.000204  -8.3e-05    -0.807    0.5883   73.9928
      3991 -0.000204  -8.2e-05   -0.8211    0.6036   74.0233
      5599 -0.000204  -8.2e-05   -0.8096     0.586   74.0023
      5993 -0.000204  -7.9e-05   -0.7982    0.6099   74.0137
      5821 -0.000204  -7.8e-05   -0.8176    0.6385   74.0695
      5443 -0.000204  -7.8e-05   -0.8166    0.6449   74.0665
      5814 -0.000204  -7.8e-05   -0.8139    0.6396    74.059
      5912 -0.000204  -7.8e-05   -0.8138    0.6392   74.0829
      1495 -0.000204  -7.8e-05   -0.8068    0.6352   74.0622
      4201 -0.000204  -7.8e-05   -0.8063    0.6341   74.0648
      5977 -0.000204  -7.8e-05   -0.7997     0.609   74.0137
      3264 -0.000204  -7.7e-05   -0.8224    0.6402   74.0392
      6239 -0.000204  -7.7e-05   -0.8183    0.6385   74.0707
      5756 -0.000204  -7.7e-05   -0.8179    0.6474   74.0654
      5809 -0.000204  -7.7e-05   -0.8167     0.641    74.074
      5823 -0.000204  -7.7e-05   -0.8133    0.6364    74.054
      5901 -0.000204  -7.7e-05   -0.8128    0.6395   74.0702
      5579 -0.000204  -7.7e-05   -0.8121    0.6429   74.0796
      5545 -0.000204  -7.7e-05   -0.8116     0.637   74.0694
      6072 -0.000204  -7.7e-05   -0.8113    0.6352   74.0618
      4695 -0.000204  -7.7e-05   -0.8109    0.6345   74.0576
      5482 -0.000204  -7.7e-05   -0.8104    0.6401   74.0712
      3607 -0.000204  -7.7e-05   -0.8102      0.63   74.0697
      6190 -0.000204  -7.7e-05   -0.8101    0.6323   74.0626
      5683 -0.000204  -7.7e-05   -0.8101    0.6384   74.0635
      4230 -0.000204  -7.7e-05   -0.8091    0.6474   74.0731
      6037 -0.000204  -7.7e-05   -0.8085    0.6365   74.0644
      6489 -0.000204  -7.7e-05   -0.8066    0.6483   74.0645
      6048 -0.000204  -7.7e-05   -0.8061    0.6433     74.06
      5996 -0.000204  -7.7e-05   -0.8046    0.6421    74.071
      5742 -0.000204  -7.7e-05   -0.7983    0.6404   74.0703
      5807 -0.000204  -7.7e-05   -0.7978    0.6375   74.0608
      5518 -0.000204  -7.6e-05   -0.8185    0.6363   74.0623
      4951 -0.000204  -7.6e-05   -0.8177    0.6352   74.0589
      5586 -0.000204  -7.6e-05    -0.816    0.6382   74.0743
      5849 -0.000204  -7.6e-05   -0.8157    0.6454   74.0686
      5761 -0.000204  -7.6e-05   -0.8151    0.6366   74.0754
      5770 -0.000204  -7.6e-05   -0.8144    0.6417   74.0629
      5666 -0.000204  -7.6e-05   -0.8133    0.6391   74.0646
      5792 -0.000204  -7.6e-05   -0.8131    0.6368   74.0728
      5968 -0.000204  -7.6e-05   -0.8114     0.638    74.061
      5717 -0.000204  -7.6e-05   -0.8107    0.6333   74.0763
      6237 -0.000204  -7.6e-05   -0.8106    0.6364   74.0602
      5972 -0.000204  -7.6e-05   -0.8092    0.6308   74.0551
      6232 -0.000204  -7.6e-05   -0.8088    0.6392   74.0596
      3609 -0.000204  -7.6e-05   -0.8081     0.641   74.0816
      6093 -0.000204  -7.6e-05   -0.8077    0.6439   74.0584
      6068 -0.000204  -7.6e-05   -0.8068    0.6415   74.0811
      5635 -0.000204  -7.6e-05   -0.8067    0.6377   74.0767
      6135 -0.000204  -7.6e-05   -0.8066    0.6395   74.0672
      6001 -0.000204  -7.6e-05   -0.8059    0.6329   74.0452
      5896 -0.000204  -7.6e-05   -0.8059    0.6405   74.0767
      6139 -0.000204  -7.6e-05   -0.8053    0.6361    74.059
      6095 -0.000204  -7.6e-05   -0.8048    0.6465   74.0752
      6005 -0.000204  -7.6e-05   -0.8039    0.6423   74.0741
      4321 -0.000204  -7.6e-05   -0.8038    0.6407   74.0799
      5941 -0.000204  -7.6e-05   -0.8037    0.6402   74.0683
      6070 -0.000204  -7.6e-05    -0.803    0.6382   74.0768
      3903 -0.000204  -7.6e-05   -0.8026      0.64   74.0489
      5358 -0.000204  -7.6e-05   -0.8012    0.6427    74.056
      6144 -0.000204  -7.6e-05   -0.8009    0.6442    74.071
      4365 -0.000204  -7.6e-05    -0.799    0.6434   74.0553
      5493 -0.000204  -7.6e-05   -0.7986    0.6431   74.0717
      6323 -0.000204  -7.5e-05   -0.8203    0.6367     74.08
      5804 -0.000204  -7.5e-05   -0.8164    0.6346   74.0823
      6018 -0.000204  -7.5e-05   -0.8143    0.6391   74.0757
      5856 -0.000204  -7.5e-05   -0.8142     0.636   74.0653
      5840 -0.000204  -7.5e-05   -0.8142    0.6386   74.0678
      5910 -0.000204  -7.5e-05   -0.8116    0.6471   74.0668
      5931 -0.000204  -7.5e-05   -0.8114    0.6331   74.0658
      5928 -0.000204  -7.5e-05   -0.8113    0.6382   74.0674
      5728 -0.000204  -7.5e-05   -0.8107    0.6351   74.0595
      6118 -0.000204  -7.5e-05   -0.8085    0.6373   74.0663
      5924 -0.000204  -7.5e-05    -0.808    0.6372   74.0673
      6221 -0.000204  -7.5e-05   -0.8076     0.644   74.0798
      5977 -0.000204  -7.5e-05   -0.8075    0.6341   74.0594
      5792 -0.000204  -7.5e-05   -0.8074    0.6412   74.0634
      6151 -0.000204  -7.5e-05   -0.8061    0.6414   74.0735
      6015 -0.000204  -7.5e-05   -0.8056    0.6376   74.0647
      6139 -0.000204  -7.5e-05   -0.8051    0.6406   74.0725
      6311 -0.000204  -7.5e-05   -0.8051    0.6429   74.0632
      6107 -0.000204  -7.5e-05   -0.8038    0.6416   74.0684
      5886 -0.000204  -7.5e-05   -0.8037    0.6397   74.0737
      5857 -0.000204  -7.5e-05   -0.8037      0.64   74.0653
      5187 -0.000204  -7.5e-05   -0.8036    0.6465   74.0654
      5467 -0.000204  -7.5e-05   -0.8034    0.6405   74.0693
      6071 -0.000204  -7.5e-05   -0.8028    0.6394   74.0671
      5100 -0.000204  -7.5e-05   -0.8024    0.6415   74.0667
      5590 -0.000204  -7.5e-05   -0.8015    0.6417   74.0612
      5894 -0.000204  -7.5e-05    -0.801    0.6419   74.0737
      5957 -0.000204  -7.5e-05   -0.8009    0.6366   74.0633
      6220 -0.000204  -7.5e-05   -0.8009    0.6373   74.0667
      5633 -0.000204  -7.5e-05   -0.8001     0.646    74.076
      6169 -0.000204  -7.5e-05   -0.7999     0.643   74.0658
      6020 -0.000204  -7.5e-05    -0.799    0.6331   74.0576
      6060 -0.000204  -7.5e-05   -0.7982    0.6424   74.0699
      5873 -0.000204  -7.5e-05   -0.7975    0.6439   74.0637
      5770 -0.000204  -7.5e-05   -0.7954    0.6428   74.0669
      5828 -0.000204  -7.4e-05   -0.8122    0.6337   74.0604
      6204 -0.000204  -7.4e-05   -0.8121    0.6353   74.0641
      5645 -0.000204  -7.4e-05   -0.8091    0.6404   74.0651
      5153 -0.000204  -7.4e-05   -0.8058    0.6453   74.0721
      4945 -0.000204  -7.4e-05   -0.8045    0.6452    74.067
      6093 -0.000204  -7.4e-05   -0.8038    0.6396   74.0674
      2332 -0.000204  -7.4e-05   -0.8037    0.6442   74.0753
      5998 -0.000204  -7.4e-05   -0.8021    0.6386   74.0667
      6155 -0.000204  -7.4e-05    -0.802    0.6369   74.0727
      5983 -0.000204  -7.4e-05   -0.8016      0.64   74.0655
      5526 -0.000204  -7.4e-05   -0.7994    0.6408   74.0855
      5685 -0.000204  -7.4e-05   -0.7983     0.638    74.079
      5942 -0.000204  -7.4e-05    -0.798     0.637   74.0784
      6064 -0.000204  -7.4e-05   -0.7978    0.6443   74.0718
      6478 -0.000204  -7.4e-05   -0.7944    0.6447   74.0711
      4468 -0.000204  -7.3e-05   -0.8227    0.6357   74.0521
      5567 -0.000204  -7.3e-05   -0.8083    0.6427    74.068
      5976 -0.000204  -7.3e-05   -0.8082    0.6397   74.0784
      3916 -0.000204  -7.3e-05   -0.8053    0.6395   74.0735
      5814 -0.000204  -7.3e-05   -0.8048      0.64   74.0728
      6259 -0.000204  -7.2e-05    -0.806    0.6365   74.0657
      5817 -0.000203  -8.6e-05    -0.808    0.5917   73.9897
      4026 -0.000203  -8.6e-05   -0.8071    0.5777   73.9712
      5495 -0.000203  -8.3e-05   -0.8132    0.5871   73.9945
      5791 -0.000203  -8.3e-05   -0.8092    0.5897   74.0025
      5757 -0.000203  -8.1e-05   -0.8053    0.5954   74.0023
      6220 -0.000203  -7.8e-05   -0.8128     0.636   74.0477
      5976 -0.000203  -7.8e-05   -0.8053    0.6329   74.0378
      6030 -0.000203  -7.8e-05   -0.8037    0.6355   74.0641
      6420 -0.000203  -7.7e-05   -0.8215    0.6365   74.0712
      5825 -0.000203  -7.7e-05    -0.815    0.6435   74.0672
      5793 -0.000203  -7.7e-05   -0.8148    0.6424   74.0754
      5656 -0.000203  -7.7e-05   -0.8124    0.6394   74.0591
      5716 -0.000203  -7.7e-05   -0.8112    0.6323   74.0476
      6159 -0.000203  -7.7e-05   -0.8085    0.6321   74.0515
      5546 -0.000203  -7.7e-05   -0.8068    0.6466   74.0667
      5778 -0.000203  -7.7e-05    -0.805    0.6371   74.0531
      6282 -0.000203  -7.7e-05   -0.7993    0.6062   74.0281
      4393 -0.000203  -7.7e-05   -0.7958    0.6437   74.0725
      5712 -0.000203  -7.6e-05   -0.8181    0.6465   74.0661
      5947 -0.000203  -7.6e-05   -0.8167    0.6416   74.0756
      4927 -0.000203  -7.6e-05   -0.8165     0.634   74.0648
      5213 -0.000203  -7.6e-05   -0.8162    0.6348   74.0667
      5821 -0.000203  -7.6e-05   -0.8162    0.6398   74.0639
      5550 -0.000203  -7.6e-05   -0.8153    0.6424   74.0765
      6285 -0.000203  -7.6e-05    -0.814    0.6391   74.0764
      6153 -0.000203  -7.6e-05   -0.8136    0.6345   74.0697
      5573 -0.000203  -7.6e-05   -0.8105    0.6412   74.0764
      5742 -0.000203  -7.6e-05   -0.8097    0.6424   74.0493
      5953 -0.000203  -7.6e-05   -0.8093    0.6306   74.0596
      4037 -0.000203  -7.6e-05   -0.8085    0.6393    74.057
      6086 -0.000203  -7.6e-05   -0.8078    0.6398   74.0784
      5952 -0.000203  -7.6e-05   -0.8074    0.6366   74.0703
      5946 -0.000203  -7.6e-05   -0.8073    0.6334    74.057
      6184 -0.000203  -7.6e-05   -0.8071    0.6376   74.0787
      6011 -0.000203  -7.6e-05   -0.8066    0.6394   74.0652
      5626 -0.000203  -7.6e-05   -0.8064    0.6533   74.0703
      5834 -0.000203  -7.6e-05   -0.8052    0.6339   74.0513
      5520 -0.000203  -7.6e-05    -0.805    0.6347   74.0602
      6173 -0.000203  -7.6e-05   -0.8042    0.6422   74.0728
      6131 -0.000203  -7.6e-05   -0.8037    0.6431   74.0733
      5906 -0.000203  -7.6e-05    -0.802    0.6371    74.072
      4208 -0.000203  -7.6e-05   -0.8009    0.6364   74.0778
      6036 -0.000203  -7.6e-05   -0.7992    0.6431   74.0617
      5569 -0.000203  -7.5e-05   -0.8136    0.6367   74.0701
      6280 -0.000203  -7.5e-05   -0.8103     0.631   74.0784
      6221 -0.000203  -7.5e-05   -0.8103    0.6349   74.0554
      5970 -0.000203  -7.5e-05   -0.8095    0.6395   74.0641
      6093 -0.000203  -7.5e-05   -0.8089    0.6395   74.0732
      4632 -0.000203  -7.5e-05    -0.807    0.6392   74.0668
      5851 -0.000203  -7.5e-05    -0.807    0.6414   74.0599
      5882 -0.000203  -7.5e-05   -0.8056    0.6307    74.074
      6063 -0.000203  -7.5e-05   -0.8056    0.6412   74.0632
      5168 -0.000203  -7.5e-05   -0.8044     0.642   74.0712
      6029 -0.000203  -7.5e-05   -0.8037    0.6359    74.065
      6020 -0.000203  -7.5e-05   -0.8037    0.6399   74.0751
      4738 -0.000203  -7.5e-05   -0.8037    0.6425   74.0576
      4715 -0.000203  -7.5e-05   -0.8029    0.6414   74.0681
      6129 -0.000203  -7.5e-05   -0.8024    0.6408   74.0731
      5652 -0.000203  -7.5e-05   -0.8008    0.6328   74.0501
      5754 -0.000203  -7.5e-05   -0.8008    0.6384   74.0588
      5877 -0.000203  -7.5e-05   -0.8001     0.635   74.0659
      5662 -0.000203  -7.5e-05   -0.8001     0.643   74.0677
      5934 -0.000203  -7.5e-05   -0.7994     0.634   74.0618
      6059 -0.000203  -7.5e-05   -0.7989    0.6412   74.0746
      5666 -0.000203  -7.5e-05   -0.7986      0.64   74.0802
      6041 -0.000203  -7.5e-05   -0.7985     0.645   74.0662
      6017 -0.000203  -7.5e-05   -0.7975    0.6385   74.0735
      3662 -0.000203  -7.4e-05    -0.818    0.6378    74.073
      6018 -0.000203  -7.4e-05   -0.8124    0.6418   74.0741
      5472 -0.000203  -7.4e-05   -0.8076    0.6401   74.0642
      6104 -0.000203  -7.4e-05   -0.8045    0.6401    74.068
      4715 -0.000203  -7.4e-05   -0.8032    0.6375   74.0649
      4692 -0.000203  -7.4e-05   -0.8018     0.629    74.068
      5880 -0.000203  -7.4e-05   -0.8018    0.6371   74.0554
