     24917  0.000236  -7.8e-05    0.1437    0.5879   74.0572
     23646  0.000237    -8e-05    0.1412     0.592    74.044
     24055  0.000237  -7.9e-05    0.1371    0.5915     74.04
     24564  0.000237  -7.9e-05    0.1516    0.5918   74.0433
     23471  0.000237  -7.8e-05    0.1371    0.5885   74.0296
     24367  0.000237  -7.8e-05     0.141    0.5932   74.0443
     23715  0.000237  -7.8e-05    0.1588     0.583    74.039
     24231  0.000237  -7.7e-05    0.1405    0.5871   74.0384
     24825  0.000237  -7.7e-05    0.1456    0.5865   74.0295
     18907  0.000237  -7.5e-05    0.1499    0.5779   74.0398
     18978  0.000237  -7.4e-05    0.1398    0.6211   74.0821
     23501  0.000238    -8e-05    0.1353     0.592     74.04
      9289  0.000238    -8e-05    0.1357    0.5959   74.0411
     17053  0.000238    -8e-05    0.1395    0.5962   74.0323
     20760  0.000238  -7.9e-05    0.1359    0.5924   74.0436
     24171  0.000238  -7.9e-05    0.1397     0.592   74.0416
     23581  0.000238  -7.9e-05    0.1403    0.5867   74.0354
     21393  0.000238  -7.9e-05    0.1406    0.5914   74.0346
     22823  0.000238  -7.9e-05    0.1411    0.5899    74.044
     23340  0.000238  -7.9e-05     0.142    0.5894   74.0417
     24330  0.000238  -7.9e-05    0.1428    0.5957   74.0295
     23601  0.000238  -7.9e-05    0.1434    0.5859   74.0285
     23249  0.000238  -7.9e-05    0.1437    0.5952    74.049
     23603  0.000238  -7.9e-05     0.144    0.5863   74.0269
     24404  0.000238  -7.9e-05    0.1466    0.5909   74.0394
     22691  0.000238  -7.9e-05    0.1471    0.5722   74.0244
     21903  0.000238  -7.9e-05    0.1486    0.5685   74.0073
     22546  0.000238  -7.9e-05    0.1533    0.5856   74.0365
     24885  0.000238  -7.8e-05    0.1359    0.5871   74.0519
     23409  0.000238  -7.8e-05    0.1369    0.5895   74.0431
     23519  0.000238  -7.8e-05     0.137    0.5875   74.0473
     19119  0.000238  -7.8e-05     0.137    0.5891   74.0397
     24400  0.000238  -7.8e-05    0.1381    0.5891    74.031
     22773  0.000238  -7.8e-05    0.1388    0.5904   74.0349
     10910  0.000238  -7.8e-05    0.1389    0.5895   74.0368
     24834  0.000238  -7.8e-05    0.1396    0.5876   74.0377
     19071  0.000238  -7.8e-05    0.1398    0.5897    74.053
     24471  0.000238  -7.8e-05    0.1407    0.5866   74.0389
     21925  0.000238  -7.8e-05    0.1417    0.5949   74.0419
     23224  0.000238  -7.8e-05    0.1477    0.5827   74.0198
     23879  0.000238  -7.8e-05    0.1483    0.5934   74.0413
     12438  0.000238  -7.7e-05    0.0884    0.6006   74.0014
     23592  0.000238  -7.7e-05    0.1357    0.5884   74.0417
     23379  0.000238  -7.7e-05    0.1369    0.5842    74.048
     24673  0.000238  -7.7e-05    0.1374    0.5875    74.027
     23609  0.000238  -7.7e-05    0.1388    0.5879   74.0407
      8806  0.000238  -7.7e-05    0.1391    0.5832   74.0223
     21669  0.000238  -7.7e-05    0.1409    0.5981   74.0487
     23284  0.000238  -7.7e-05    0.1422    0.5864   74.0403
     12981  0.000238  -7.7e-05    0.1433    0.5893   74.0337
     23498  0.000238  -7.7e-05    0.1471    0.5907   74.0463
     23927  0.000238  -7.6e-05    0.1367    0.5864   74.0392
     23728  0.000238  -7.6e-05    0.1455    0.5946   74.0498
     24691  0.000238  -7.6e-05    0.1468    0.5921   74.0502
     24625  0.000238  -7.5e-05    0.1374     0.589   74.0557
      7726  0.000238  -7.2e-05    0.1365     0.615   74.0914
     24045  0.000239  -8.1e-05    0.1383    0.5883   74.0285
     22818  0.000239    -8e-05    0.1328    0.5935   74.0463
     21177  0.000239    -8e-05    0.1375    0.5935   74.0517
     23795  0.000239    -8e-05    0.1376    0.5924   74.0344
     21786  0.000239    -8e-05    0.1489    0.5906   74.0409
     23824  0.000239    -8e-05    0.1509    0.5834   74.0316
     23733  0.000239  -7.9e-05    0.0719    0.6038   73.9928
     22102  0.000239  -7.9e-05    0.0987    0.5998   73.9871
     10290  0.000239  -7.9e-05    0.1351    0.5852    74.019
